iso_code,description
PHL,"The Philippines (Filipino: Pilipinas), officially the Republic of the Philippines (Republika ng Pilipinas), is an archipelago of more than 7,100 islands in Southeast Asia between the Philippine Sea and the South China Sea. The country has one of the world's longest coastlines with many fine beaches and excellent diving. There is great cultural diversity due to the many islands, many waves of immigration, and a mixture of foreign influences — the country has been trading with nearby nations for at least a thousand years and was a Spanish colony from the late 1500s to 1898, then American until 1946. It would take decades to visit and experience everything. Many locals speak English well and most of the others have at least some English. Food and accommodations are cheap, many destinations have excellent infrastructure, and the people are cheerful and friendly; perhaps the easiest way to recognize a Filipino abroad is to see who has the broadest smile. The Philippines is seeing a slowly growing number of visitors, however, it continues to lag behind its neighbors, having received only 8 million visitors in 2018, just a fifth of Thailand's draw, despite a population 40% larger. Westerners form a minority of visitors; most tourists are from China, Korea and Japan. The plight of tourism mostly stems from insurgencies and crime, but most parts of the country remain safe with common sense."
POL,"Poland (Polish: Polska) is a Central European country that has, for the last few centuries, sat at the crossroads of three of Europe's great empires. As a result, it has a rich and eventful history, and a strong basis for its booking tourism industry. Its heritage is reflected in its architecture, museums, galleries and monuments. Its landscape is varied, and extends from the Baltic Sea coast in the north to the Tatra Mountains in the south. In between, lush primeval forests are home to fascinating species of animals including bisons in Białowieża; beautiful lakes and rivers for various water-sports, the best known of which are in Warmińsko-Mazurskie; rolling hills; flat plains; and deserts. Among Poland's cities you can find the perfectly preserved Gothic old town of Toruń, Hanseatic heritage in Gdańsk and evidence of the 19th-century industrial boom in Łódź. Today's Poland has a very homogeneous society in terms of ethnicity, language and religion. The historical Republics of Poland, whose boundaries were very different from those of today, were very multi-cultural, and, for a period, Poland was known as Europe's most religiously tolerant. Poland held Europe's largest Jewish population, which was all but wiped out by the Holocaust of World War II and after the war by the anti-Semitic communist government. Poland's western regions, including large parts of Lower Silesia, Lubuskie and Zachodniopomorskie, were parts of neighbouring Germany at different periods of time. The natural border of mountain ridges separating Poland from its southern neighbours, the Czech Republic and Slovakia, did not stop the cultural influence (and periodic warring). In the Middle Ages, Poland was part of a powerful Commonwealth with Lithuania that governed much of today's Belarus and Ukraine. The cultural evidence of it can be found closer to the present-day borders. Lastly, the entire eastern half of Poland used to be controlled by the Russian Empire, and there was a strong Soviet influence during the communist era, leaving behind many traces in both culture and built heritage. Despite losing a third of its population, including a disproportionally large part of its elites, in World War II, and suffering many economic setbacks as a Soviet satellite state afterwards, Poland in many ways flourished culturally in the 20th century. Paving the way for its fellow Eastern bloc states, Poland had a painful transition to democracy and capitalism in the late 1980s and 90s. In the 21st century, Poland joined the European Union and has enjoyed continuous economic growth unlike any other EU country. This has allowed it to markedly improve its infrastructure and had a profound effect on its society. Creative and enterprising, Poles continually come up with various ideas for events and festivals, and new buildings and institutions spring up almost before your eyes, so that every time you come back, you are bound to discover something new."
PRT,"Portugal is on the western edge of the Iberian peninsula, with two archipelagos in the Atlantic Ocean. Despite its small land area, it has many landforms and climates between the Atlantic coast and the mountains. Portugal has plenty of prehistoric sites, as well as remnants from the Roman Empire, and the Age of Discovery, when Portuguese explorers found the Cape Route around Africa, and completed the world's first circumnavigation. While Portugal is modern and developed, it maintains much traditional culture with handicrafts, cuisine, music, and dance. Portugal is home to 17 s."
QAT,"Qatar (Arabic: قطر; pronounced kut-ar or cutter) is a rich Arab state occupying a small peninsula extending into the Persian Gulf to the north of Saudi Arabia. Many come to the Middle East seeking the mystic, traditional life of the Bedouins, wandering the desert with their life's belongings on a camel's back. Although tradition is still an important part of the Qatari ethos, the country has well and truly moved into the twenty-first century with the piercing glass skyscrapers of Doha, a booming trade sector and a new-found place in international diplomacy."
ROU,"Romania (Romanian: România) is a country on the western shores of the Black Sea; except for Dobruja, it is north of the Balkan Peninsula. It is a country of great natural beauty and diversity and a rich cultural heritage, including a variety of ethnic, linguistic, and confessional groups. Romania enchants visitors with its scenic mountain landscapes and unspoilt rural areas, but also with its historic cities and busy capital. There has been significant development, especially since it joined the European Union in 2007. Still, it may surprise some of its visitors who are used to western Europe. It has six cultural and one natural UNESCO world heritage sites. Romania is a large country which can sometimes be shocking with contrasts: some cities are truly modern, while some villages can seem to have been brought back from the past. While it has significant cultural similarities with other Balkan states, it is regarded as unique due to its strong Latin heritage, reflected in every part of Romanian society from its culture to its language. Things for which Romania is famous include: the Carpathian mountains, wine, medieval fortresses, Dacia cars, Dracula, stuffed cabbage leaves (sarmale), the Black Sea, sunflower fields, painted monasteries and the Danube Delta."
RUS,"Russia (Russian: Россия, Rossiya) is by far the largest country in the world, covering more than one-eighth of the Earth's inhabited land area, spanning Eastern Europe and northern Asia, as well as eleven time zones. While geographically mostly in Asia, the bulk of Russia's population is concentrated in the European part, and, culturally, Russia is unmistakably European. Much of the Asian part, however, has more in common with Kazakhstan, Mongolia, or Northeast China than with Eastern Europe. Russia boasts a rich history and culture."
RWA,"Rwanda is a relatively stable East African country, and easily accessible from Kenya and Uganda. It is relatively easy, safe and simple to travel around. Rwanda is not only the land of a thousand hills, but also a country rich in flora and fauna and stunning natural beauty in its scenic rolling and breathtaking green savannah. The country hosts some rare species of animals like the silverback mountain gorillas as well as unique birds and insects in the tropical forest of Nyungwe."
SAU,"Saudi Arabia is a kingdom which geographically dominates the Arabian peninsula. Saudi Arabia contains Islam's holiest cities — Mecca (Makkah) and Medina (Madinah) — both of which attract Muslims from all over the world. Religious pilgrimages used to be the country's main source of income before oil was discovered in the 1930s.  More than 16 million people visit Saudi Arabia every year, making it one of the most visited countries in the world. People typically come to Saudi Arabia for either the Hajj or Umrah and leisure tourism is still in its nascent stages. Saudi Arabia provides the tourist the opportunity to learn about one of the most conservative countries on the planet, and a country that has been prominently featured in the Qu'ran, Islam's holiest book.  The country enforces a very strict interpretation of Islamic (Sharia) law, even though minor relaxations have been adopted in the last few years, the most notable one being allowing women to drive. Visitors are generally required to respect local conventions and Islamic values, and non-Muslims are disallowed from entering certain areas.  You should not travel to Saudi Arabia if you are not prepared to accept numerous limitations on your freedom of expression and behaviour."
SEN,"Senegal is a country in West Africa. Formerly a French colony, it is the westernmost country in the mainland of the Old World.  Senegal is an excellent destination for anyone interested in exploring and learning about African culture. Visitors will be able to experience a huge range of cultures and traditions in this diverse country.  Although Senegal is not usually on most travellers' lists, the country offers plenty of attractions and things to do. Fishing enthusiasts will be interested to know that Senegal is one of the best places in the world to catch fish. The Senegalese are known for their kindness and hospitality, and you can expect to be treated with immense respect as a visitor."
SRB,"Serbia (Serbian: Србија, Srbija) is a country at the crossroads of Central Europe and the Balkans, on one of the major land routes from Central Europe to the Near East. Serbia is a relatively new tourist destination. During the summer tourists love spending their time in Belgrade and enjoy the nature of many national parks throughout the country. In winter, they are attracted to the mountain resorts, one of the most popular being Kopaonik. There are also many spa resorts such as Sokobanja, Niška Banja and Vrnjačka Banja. Serbia was developed as a tourist destination much later than neighbouring Croatia, although it is also a varied and beautiful nation. From the plains of Vojvodina that remind one of the scenes of 'Dr. Zhivago' in winter, to many mountains, lakes and ski resorts. Serbia is on the crossroads of European history and as such, it is a mix of cultures, ethnicity and religions. Its people are one of the most hospitable and welcoming and Belgrade was voted as one of the up-and-coming capitals of Europe. Serbia has a spirit and a soul that is rare to find coupled with melange of different cultures and a gusto for good living."
SYC,"The Seychelles are a group of 115 islands in the Indian Ocean that lie off the coast of East Africa, northeast of Madagascar. Only a few are inhabited."
iso_code,description
SVK,"Slovakia (Slovak: Slovensko) or the Slovak Republic (Slovenská republika) is a country in Central Europe. The main reasons to visit Slovakia are its natural beauty, vivid history and great opportunities for relaxation (and due to the small size of the country, it is quite easy to combine all three). Slovakia has nine national parks, which cover a relatively big portion of the country and feature the tallest part of the Carpathian Mountain Range, the High Tatras, which offer great opportunities for mountain and winter sports as well as great vistas. Geologically, a sizable part of Slovakia is made out of limestone, which in combination with many springs and rivers has resulted in formation of numerous caves (12 open to the public, several of which are UNESCO listed) and the beautiful rocky formations, canyons and waterfalls of the Slovak Paradise and Slovak Karst. Even outside these areas, there are some beautiful landscapes, and all of Slovakia is covered by thousands of well-marked hiking trails. For history lovers, Slovakia has the highest number of castles and chateaux per capita in the world, ranging from simple ruins to well-preserved habitable castles with furnishings, so if you are a fan of medieval history, look no further. There are also numerous Gothic and Baroque cities and towns across Slovakia, including the capital. There are also well-preserved examples of wooden folk architecture, including churches made entirely out of wood and the tallest wooden altar in the world. There are numerous mineral and thermal springs in Slovakia, and around some of these world-famous spas have been built that offer great curative therapies or just simple relaxation. You can also chill out, swim and sunbathe at the shores of several local lakes and pools or try AquaCity waterpark if you are feeling more adventurous. In particular, Bratislava boasts a lively nightlife as well and is a popular partying destination."
SVN,"Slovenia (Slovenian: Slovenija) is a country on the crossroads of Central and Southeastern Europe that lies in the eastern Alps at the northern end of the Adriatic Sea. Despite its small size, Slovenia has a surprising variety of terrain, ranging from the beaches of the Mediterranean to the peaks of the Julian Alps, to the rolling hills of the south. Slovenia is also home to some of the finest scenery in the ""New Europe"", the transition from socialism to the European common market economy has gone well and serves as a model for other nations on the same track to follow."
ZAF,"SA redirects here. For the state, see South Australia South Africa is Africa's southernmost country. It is a large country with widely varying landscapes, 11 official languages, and an equally diverse population and is often known as the ""Rainbow Nation""."
KOR,"South Korea (Korean: 한국, 韓國 Hanguk), officially the Republic of Korea (대한민국, 大韓民國 Daehan Minguk), is a country in East Asia. Known as the ""Land of the Morning Calm"", Korea has served as a cultural bridge between its neighbors, China and Japan, for a long time. South Korea has emerged from the shadows of its turbulent past and cemented its place as one of the world's major economic powers. Since the turn of the 21st century, South Korean pop culture has become enormously popular all over East Asia, making it a very popular tourist destination."
ESP,"Spain (Spanish: España) is famous for its friendly inhabitants, relaxed lifestyle, its cuisine, vibrant nightlife, and world-famous folklore and festivities, and its history as the core of the vast Spanish Empire. Spain shares the Iberian Peninsula with Andorra, Gibraltar, and Portugal. It has the second-largest number of UNESCO World Heritage Sites after Italy and the largest number of World Heritage Cities."
LKA,"Sri Lanka (Sinhalese: ශ්‍රී ලංකා Śrī Laṃkā; Tamil: இலங்கை Ilaṅkai), formerly known as Ceylon, is in South Asia. Located in the Indian Ocean just south of India, Sri Lanka is an island known for its natural beauty. Sri Lanka has stunning beaches all along its coastline, great wildlife and biodiversity, tea plantations, orchards, temples, monuments, and a cultural heritage dating back several millennia. Its cultural landscape includes the (mostly Buddhist) Sinhala and the (mostly Hindu) Tamil ethnic groups, with substantial Muslim and Christian communities."
SUR,"Suriname (pronounced ""surinam"") is a small republic on the northeast coast of South America. It prides itself on its thoroughly multi-ethnic culture, a colourful blend of indigenous Indian traditions and those of its former Dutch colonisers and the African, Javanese and Hindustani workers they once brought with them. It's a country with a fabulous and largely untouched Amazon inland, slowly discovering its chances as an ecotourism destination. International visitors are steadily following Dutch travellers who have long been drawn to this friendly, tropical country to explore its spectacular nature, captivating cultural heritage and meet its ever smiling people. Formerly called Dutch Guiana, Suriname is tucked in between French Guiana in the east and Guyana (formerly British Guiana) in the west. In the south the country is bordered by Brazil and in the north by the Atlantic Ocean. At just under 165,000 km2, Suriname is the smallest sovereign state in South America. It had 576,000 inhabitants in 2018, half of whom lived in the exuberant capital, Paramaribo."
SWE,"Sweden (Swedish: Sverige) is the largest of the Nordic countries by size and population. Visitors can experience deep forests and many lakes, the heritage from the Viking Age and the 17th-century Swedish Empire, the glamour of the Nobel Prize, and the country's successful pop music scene. Sweden has 270,000 islands; more than any other country. Many of them are open to visit through the right to roam."
CHE,"Switzerland (German: Schweiz, French: Suisse, Italian: Svizzera, Romansch: Svizra), officially the Swiss Confederation (Latin: Confoederatio Helvetica, hence the abbreviation ""CH"") is a mountainous country in Central Europe. Switzerland is known for its mountains (Alps in the south, Jura in the northwest) but it also has a central plateau of rolling hills, plains, and large lakes. The highest point is Dufourspitze at 4,634 m (15,203 ft) while Lake Maggiore is only 195 m (636 ft) above sea level, and the temperate climate varies greatly with altitude. Switzerland is intrinsically more culturally diverse than perhaps any other European country. It has four national languages which have historically been dominant in various regions, or cantons. German, French and Italian are spoken in the regions bordering the respective country, and Romansch — a Romance language of Swiss origin — is spoken in the mountainous area of Graubünden. Switzerland also has one of the proportionally largest expat/immigrant populations - literally every fourth resident (25.1% as of 2018) of the almost 8.5 million inhabitants is a foreign national - consisting of almost all of the world's nationalities and ethnic groups. Renowned for tolerance, neutrality and direct democracy, as well as almost-legendary affluence, Switzerland has one of the highest standards of living in the world - and prices to match. Switzerland can be a glorious whirlwind trip whether you've packed your hiking boots, snowboard, or just a good book and a pair of sunglasses."
TWN,"Taiwan (Traditional Chinese: 台灣 or 臺灣, Táiwān) is an island nation off the coast of southeastern mainland China. The island is officially known as and governed by the Republic of China (中華民國 Zhōnghuá Mínguó) or ROC. Shaped roughly like a sweet potato, the nation is home to more than 23 million people and is one of the most densely populated places in the world. Besides its crowded cities, Taiwan is also known for steep mountains and lush forests. Although most of the population is ethnically Chinese, the legacy of Japanese colonial rule still pervades much of Taiwanese life, and there is also indigenous Austronesian culture to explore for the truly intrepid traveller."
TZA,Tanzania is the largest country in East Africa. Modern Tanzania combines two areas that at other times have been governed separately: Tanganyika on the coast of the African mainland and the island of Zanzibar nearby.
THA,"With great food, a tropical climate, fascinating culture and superb beaches, Thailand (Thai: ประเทศไทย Prathet Thai) is the most visited country in Southeast Asia. It is called the ""Land of Smiles"". Thailand is the heart of the Southeast Asian mainland. As it has comparably good infrastructure with Bangkok being an intercontinental flight hub, the country is the gateway to the region for most foreign visitors."
TUN,"Tunisia (Arabic: تونس‎ Tūnis), officially the Republic of Tunisia (Arabic: الجمهورية التونسية‎ al-Jumhūriyyah at-Tūnisiyyah), is a country in North Africa bordering the Mediterranean Sea. The turmoil of the Arab Spring began in Tunisia in 2010, and the country is today an island of stability in a chaotic region. Tourism is pretty well developed, and there are several ways to enjoy your vacation in Tunisia, including spending time on the gorgeous Mediterranean beaches, or planning a circuit of the country."
TUR,"Turkey (Turkish, and officially: Türkiye) is a bi-continental country: while geographically most of the country is situated in Asia, Eastern Thrace is part of Europe and many Turks have a sense of European identity. Turkey offers a wealth of destination varieties to travellers: from dome-and-minaret filled skyline of Istanbul to Roman ruins along the western and southern coasts, from heavily indented coastline against a mountainous backdrop of Lycia and wide and sunny beaches of Pamphylia to cold and snowy mountains of the East, from crazy ""foam parties"" of Bodrum to Middle Eastern-flavoured cities of Southeastern Anatolia, from verdant misty mountains of Eastern Black Sea to wide steppe landscapes of Central Anatolia, there is something for everyone's taste—whether they be travelling on an extreme budget by hitchhiking or by a multi-million yacht."
UGA,"Uganda was called the Pearl of Africa by Winston Churchill. It is home to one of the most diverse and concentrated ranges of African fauna including the highly endangered mountain gorilla and the endangered common chimpanzee. Uganda is accessible and affordable, but not up to the high tourism standards of more mature destinations such as Kenya or Tanzania, much less South Africa. This gives it more edge, more authenticity and less predictability. This does not mean danger (but see Stay Safe section below), rather greater opportunities for delight—and frustration. This is real Africa, the dirty urban bustle of Kampala bursting at the seams then giving way to lush subsistence farming and small villages. Roads are rough, people are friendly, everything seems to have a smell all its own, and not everything moves according to schedule or to plan. Most travellers come to track the critically endangered mountain gorilla, but other major draws are other primates such as chimpanzees, birding, visiting Murchison Falls, trekking the Rwenzoris and white water rafting near the source of the River Nile."
UKR,"Ukraine (Ukrainian: Україна) is a large country in Eastern Europe, and the second largest country in Europe. Ukraine boasts a very rich culture and history, with a plethora of activities for the budding traveller."
ARE,The United Arab Emirates (Arabic: دولة الإمارات العربية المتحدة) or simply the Emirates is a country rich in history and culture at the entrance to the Persian Gulf. It makes an easy starting point for travels in the Middle East.
USA,"The United States of America is a vast country in North America about half the size of Russia and about the same size as China. It also has the world's third-largest population, with more than 330 million people (in 2020). It includes densely populated cities with sprawling suburbs, and vast uninhabited areas of natural beauty. Representing the world's single largest economy with its history of mass immigration dating from the 17th century, it is a ""melting pot"" of cultures from around the world. Regarded as the most powerful and influential country in the world, it plays a dominant role in the world's cultural landscape, and is famous for its wide array of popular tourist destinations, ranging from the skyscrapers of Manhattan and Chicago, to the natural wonders of Yellowstone and Alaska, to the canyonlands of the Southwest, to the warm, sunny beaches of Florida, Hawaii and Southern California."
URY,"Uruguay is the second-smallest country in South America, wedged between Argentina and Brazil. The country is known for its colonial-era historic districts in Colonia and Montevideo, popular beaches on the Atlantic Coast, and beef production—a former meat processing plant in Fray Bentos is a world heritage site. Calmer and safer than its neighbors, Uruguay is a low-key, easygoing destination."
VEN,"Venezuela is a country in South America on the Caribbean Sea. The country is known for being the home of the Angel Falls (Kerepakupai Vená), the world's highest waterfall and one of Venezuela's major tourist attractions. The country has the world's largest oil reserves, although this hasn't exactly translated into prosperity and wealth for the vast majority of the population. The heavy dependance on oil exports, coupled with pervasive corruption, political unrest and instability, economic mismanagement, and irresponsible policies put forth by the government have badly damaged the economy. This has, in turn, lead to a deteriorating human rights situation, shortage of basic supplies, skyrocketing crime rates, and widespread unemployment and poverty. Due to the extremely high inflation rate, Wikivoyage does not provide prices in the national currency, the bolivar. Prices expressed in US dollars may be shown as ranges because of the variance between low official and higher unofficial exchange rates."
VNM,"Vietnam (Vietnamese: Việt Nam) is a country in Southeast Asia.  Despite the turmoil of the American War (called the Vietnam War internationally), Vietnam has emerged from the ashes since the 1990s and is undergoing rapid economic development, driven by its young and industrious population. Although less developed as a tourist destination compared to say, Thailand, with great food and a wealth of natural and cultural attractions, it has much to offer for the intrepid traveller."
YEM,"Yemen (Arabic: ٱلْيَمَن) is a country in the Middle East. Although it is rich in history and culture, the country has been in a state of flux since the 1980s. It is one of the least developed and poorest countries in the world. However, under less extreme circumstances, this vast, mountainous country has a lot to offer to the adventurous, thrill-seeking traveller. Yemen is a difficult country to get around, but the rewards for the persistent visitor are unforgettable. The Yemenis are very friendly and open, and tourists might find themselves being treated as celebrities here; in fact, they might be showered with a lot of hospitality and care, even if they unintentionally make a few cultural blunders."
ZMB,"Zambia offers travelers some of the world's best safari opportunities, a glimpse into ""real Africa"", and Victoria Falls, one of the World's Seven Natural Wonders and a UNESCO World Heritage Site."
ZWE,"Zimbabwe is a landlocked country in Southern Africa. For those looking to travel in Africa, Zimbabwe is a great starting place. It is rich in fauna (being home to the big five) and flora and has numerous ancient stone cities including the largest in Africa south of the Sahara, Great Zimbabwe. Its border with Zambia is formed by the Zambezi River which when in full flood drops as the world's largest curtain of falling water at the mighty Victoria Falls which is a major tourist attraction."
